time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-08-11T09:08:10.283Z,60.8318,-149.3944,26.4,1.5,ml,,,,0.75,ak,ak024aalsdl0,2024-08-11T09:10:16.388Z,"6 km SSE of Sunrise, Alaska",earthquake,,0.2,,,automatic,ak,ak
2024-08-11T09:07:19.880Z,35.0849991,-119.05867,14.09,2.02,ml,34.0,53.0,0.03345,0.21,ci,ci40697167,2024-08-11T09:09:35.743Z,"20 km NW of Grapevine, CA",earthquake,0.38,0.6,0.235,27.0,automatic,ci,ci
2024-08-11T08:50:46.900Z,38.82,-122.85,1.77,0.4,md,6.0,140.0,0.0147,0.01,nc,nc75047117,2024-08-11T08:52:23.844Z,"10 km NW of The Geysers, CA",earthquake,0.46,1.11000001,0.17,8.0,automatic,nc,nc
2024-08-11T08:48:14.560Z,35.0986667,-119.0728333,2.24,1.32,ml,34.0,75.0,0.04097,0.24,ci,ci40697159,2024-08-11T08:55:03.805Z,"22 km NW of Grapevine, CA",earthquake,0.3,1.26,0.166,31.0,automatic,ci,ci
2024-08-11T08:44:11.670Z,38.84,-122.81,2.26,0.78,md,14.0,55.0,0.01238,0.01,nc,nc75047112,2024-08-11T08:45:49.849Z,"7 km WNW of Cobb, CA",earthquake,0.34,0.730000019,0.16,14.0,automatic,nc,nc
2024-08-11T08:39:49.999Z,59.9104,-152.7761,104.0,2.1,ml,,,,0.36,ak,ak024aaldo96,2024-08-11T08:52:36.040Z,"55 km WNW of Anchor Point, Alaska",earthquake,,0.5,,,automatic,ak,ak
2024-08-11T08:33:28.420Z,34.9418333,-116.803,2.7,2.04,ml,33.0,55.0,0.1726,0.16,ci,ci40697143,2024-08-11T08:44:05.690Z,"21 km ENE of Barstow, CA",earthquake,0.17,0.81,0.127,27.0,automatic,ci,ci
2024-08-11T08:29:11.653Z,60.7045,-151.4446,72.6,1.3,ml,,,,0.46,ak,ak024aalbg4d,2024-08-11T08:31:55.720Z,"8 km W of Nikiski, Alaska",earthquake,,1.8,,,automatic,ak,ak
2024-08-11T08:27:39.230Z,33.3131667,-116.2383333,4.54,0.67,ml,42.0,101.0,0.07725,0.2,ci,ci40697127,2024-08-11T08:33:35.518Z,"14 km ENE of Borrego Springs, CA",earthquake,0.24,0.59,0.169,13.0,automatic,ci,ci
2024-08-11T08:11:48.230Z,36.2205,-118.0286667,0.56,1.01,ml,22.0,95.0,0.1741,0.18,ci,ci40697119,2024-08-11T08:17:34.337Z,"7 km SSW of Olancha, CA",earthquake,0.35,0.58,0.185,11.0,automatic,ci,ci
2024-08-11T08:00:31.080Z,38.78,-122.73,1.81,1.86,md,32.0,56.0,0.005146,0.1,nc,nc75047107,2024-08-11T08:50:57.348Z,"2 km E of The Geysers, CA",earthquake,0.28,0.439999998,0.15,31.0,automatic,nc,nc
2024-08-11T07:55:10.570Z,38.84,-122.84,1.8,0.79,md,15.0,96.0,0.006961,0.01,nc,nc75047102,2024-08-11T08:35:56.259Z,"10 km NNW of The Geysers, CA",earthquake,0.28,0.569999993,0.43,17.0,automatic,nc,nc
2024-08-11T07:47:52.390Z,38.84,-122.83,2.07,0.57,md,7.0,156.0,0.007407,0.01,nc,nc75047097,2024-08-11T08:21:04.170Z,"9 km WNW of Cobb, CA",earthquake,0.56,1.08000004,0.28,9.0,automatic,nc,nc
2024-08-11T07:40:57.210Z,33.2366667,-116.0405,3.39,0.88,ml,47.0,77.0,0.06303,0.23,ci,ci40697111,2024-08-11T07:46:58.971Z,"10 km SW of Salton City, CA",earthquake,0.25,0.47,0.085,17.0,automatic,ci,ci
2024-08-11T07:36:42.540Z,38.77,-122.74,0.4,0.57,md,5.0,104.0,0.01124,0.01,nc,nc75047092,2024-08-11T08:05:59.074Z,"2 km ESE of The Geysers, CA",earthquake,0.41,1.44000006,0.1,5.0,automatic,nc,nc
2024-08-11T07:34:29.180Z,35.0968333,-119.0925,0.67,1.3,ml,27.0,131.0,0.03881,0.21,ci,ci40697103,2024-08-11T07:40:42.111Z,"23 km NW of Grapevine, CA",earthquake,0.33,1.52,0.156,27.0,automatic,ci,ci
2024-08-11T07:21:59.565Z,62.0851,-149.405,54.3,1.3,ml,,,,0.83,ak,ak024aakoehg,2024-08-11T07:24:16.301Z,"24 km ESE of Susitna North, Alaska",earthquake,,1.0,,,automatic,ak,ak
2024-08-11T06:56:32.890Z,35.1123333,-119.0846667,2.65,1.14,ml,27.0,85.0,0.05361,0.18,ci,ci40697095,2024-08-11T07:02:41.886Z,"22 km SW of Lamont, CA",earthquake,0.23,0.96,0.2,17.0,automatic,ci,ci
2024-08-11T06:53:03.740Z,33.2491667,-115.9986667,4.63,1.09,ml,47.0,83.0,0.03267,0.23,ci,ci40697087,2024-08-11T06:59:16.852Z,"7 km SW of Salton City, CA",earthquake,0.22,0.45,0.476,8.0,automatic,ci,ci
2024-08-11T06:43:06.560Z,35.0835,-119.0896667,2.26,1.12,ml,23.0,81.0,0.0253,0.26,ci,ci40697079,2024-08-11T06:49:31.663Z,"21 km NW of Grapevine, CA",earthquake,0.39,1.38,0.237,15.0,automatic,ci,ci
2024-08-11T06:34:33.359Z,40.681,-119.3342,11.3,1.1,ml,9.0,233.98,0.594,0.1532,nn,nn00882202,2024-08-11T06:37:05.130Z,"3 km NNE of Gerlach, Nevada",earthquake,,0.9,0.33,3.0,automatic,nn,nn
2024-08-11T06:32:20.760Z,33.2653333,-115.9936667,3.35,1.82,ml,78.0,44.0,0.01612,0.21,ci,ci40697071,2024-08-11T06:43:29.960Z,"5 km SW of Salton City, CA",earthquake,0.15,0.27,0.192,26.0,automatic,ci,ci
2024-08-11T06:27:46.200Z,38.83,-122.8,1.98,1.57,md,33.0,41.0,0.01078,0.03,nc,nc75047082,2024-08-11T07:00:58.664Z,"7 km WNW of Cobb, CA",earthquake,0.18,0.310000002,0.15,32.0,automatic,nc,nc
2024-08-11T06:11:44.820Z,38.84,-122.81,2.56,0.45,md,9.0,57.0,0.01292,0.02,nc,nc75047077,2024-08-11T06:45:58.572Z,"8 km WNW of Cobb, CA",earthquake,0.43,1.40999997,0.25,10.0,automatic,nc,nc
2024-08-11T06:11:09.160Z,47.07133483886719,-122.03717041015624,15.3400001525879,1.536092758178711,ml,22.0,241.0,,0.0599999987,uw,uw62034681,2024-08-11T06:13:24.520Z,"1 km SE of Carbonado, Washington",earthquake,0.87,0.620000005,0.2874658703804016,26.0,automatic,uw,uw
2024-08-11T05:56:02.670Z,36.32,-120.89,9.39,1.26,md,18.0,97.0,0.04967,0.1,nc,nc75047072,2024-08-11T09:01:36.533Z,"23 km WSW of New Idria, CA",earthquake,0.29,0.639999986,0.36,10.0,automatic,nc,nc
2024-08-11T05:42:16.560Z,38.79,-122.78,1.89,0.72,md,12.0,108.0,0.007626,0.02,nc,nc75047067,2024-08-11T06:30:57.472Z,"2 km NW of The Geysers, CA",earthquake,0.28,0.629999995,0.07,13.0,automatic,nc,nc
2024-08-11T05:42:10.640Z,19.261,-64.9748333333333,58.29,3.32,md,8.0,279.0,0.9013,0.37,pr,pr71457243,2024-08-11T05:59:01.900Z,"101 km N of Charlotte Amalie, U.S. Virgin Islands",earthquake,7.24,15.34,0.05137420037547,5.0,reviewed,pr,pr
2024-08-11T05:36:14.060Z,38.73,-122.42,0.32,1.65,md,15.0,59.0,0.07035,0.15,nc,nc75047062,2024-08-11T08:35:57.259Z,"15 km SE of Hidden Valley Lake, CA",earthquake,0.37,2.22000003,0.08,11.0,automatic,nc,nc
2024-08-11T05:32:43.130Z,35.1406667,-119.0803333,8.13,1.14,ml,24.0,69.0,0.08193,0.21,ci,ci40697063,2024-08-11T05:44:24.409Z,"20 km SW of Lamont, CA",earthquake,0.29,0.71,0.173,17.0,automatic,ci,ci
2024-08-11T05:11:26.773Z,60.4875,-143.3639,16.9,1.4,ml,,,,0.21,ak,ak024aajfbl1,2024-08-11T05:13:33.740Z,"108 km SSW of McCarthy, Alaska",earthquake,,0.4,,,automatic,ak,ak
2024-08-11T04:50:28.990Z,37.5124,-117.9497,5.8,1.2,ml,8.0,274.35,0.146,0.472,nn,nn00882201,2024-08-11T04:53:05.012Z,"20 km SSE of Dyer, Nevada",earthquake,,1.4,0.46,5.0,automatic,nn,nn
2024-08-11T04:37:14.290Z,19.1055,-65.9315,31.64,3.12,md,10.0,265.0,0.8052,0.2,pr,pr71457238,2024-08-11T05:35:07.900Z,"73 km NNE of San Juan, Puerto Rico",earthquake,1.26,8.62,0.0680400885865564,6.0,reviewed,pr,pr
2024-08-11T04:35:55.540Z,19.0791,-65.978,35.0,3.4,md,16.0,235.0,0.7773,0.39,pr,pr2024224000,2024-08-11T05:10:41.883Z,"69 km N of San Juan, Puerto Rico",earthquake,1.92,10.16,0.07,10.0,reviewed,pr,pr
